Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
1232,India,22,Chhattisgarh,379,Janjgir-Champa,2021,Criminal,7353,4548,1520,254,10,1,0,13686,13245,184,258,0,1762,706,6511,4462,1629,2154,107,296,4118
1233,India,22,Chhattisgarh,379,Janjgir-Champa,2021,Total,8393,5601,2055,364,15,2,2,16432,15686,486,258,3,2651,1006,7691,4770,1794,2379,907,771,5435
1234,India,22,Chhattisgarh,380,Jashpur,2021,Civil,441,342,162,54,7,0,0,1006,704,72,0,230,154,154,432,227,38,61,221,261,610
1235,India,22,Chhattisgarh,380,Jashpur,2021,Criminal,1973,1476,518,55,1,0,0,4023,3826,43,154,0,583,121,2659,657,465,477,19,140,1539
1236,India,22,Chhattisgarh,380,Jashpur,2021,Total,2414,1818,680,109,8,0,0,5029,4530,115,154,230,737,275,3091,884,503,538,240,401,2149
1237,India,22,Chhattisgarh,381,Kanker,2021,Civil,471,341,162,14,0,0,0,988,594,41,13,340,243,87,335,138,44,71,164,271,367
1238,India,22,Chhattisgarh,381,Kanker,2021,Criminal,2092,810,122,4,0,0,0,3028,2872,50,106,0,319,39,1536,1120,346,565,29,168,356
1239,India,22,Chhattisgarh,381,Kanker,2021,Total,2563,1151,284,18,0,0,0,4016,3466,91,119,340,562,126,1871,1258,390,636,193,439,723
1240,India,22,Chhattisgarh,382,Kabirdham,2021,Civil,470,464,207,37,2,1,0,1181,887,120,0,174,292,23,586,214,57,45,149,242,655
1241,India,22,Chhattisgarh,382,Kabirdham,2021,Criminal,4567,2040,685,23,1,0,0,7316,6710,171,435,0,1775,241,3468,1817,727,1078,34,279,2252
1242,India,22,Chhattisgarh,382,Kabirdham,2021,Total,5037,2504,892,60,3,1,0,8497,7597,291,435,174,2067,264,4054,2031,784,1123,183,521,2907
1243,India,22,Chhattisgarh,383,Korba,2021,Civil,1582,1042,491,169,30,5,1,3320,2702,187,0,431,1083,452,1039,580,208,226,415,481,1234
1244,India,22,Chhattisgarh,383,Korba,2021,Criminal,6235,4846,2281,719,37,4,0,14122,13129,253,740,0,2717,491,5898,5008,1209,1660,155,375,5631
1245,India,22,Chhattisgarh,383,Korba,2021,Total,7817,5888,2772,888,67,9,1,17442,15831,440,740,431,3800,943,6937,5588,1417,1886,570,856,6865
1246,India,22,Chhattisgarh,384,Korea,2021,Civil,763,750,258,71,5,1,0,1848,1435,281,0,131,1057,78,565,144,97,117,338,443,840
1247,India,22,Chhattisgarh,384,Korea,2021,Criminal,4315,3055,1325,264,4,0,0,8963,6575,1978,410,0,1617,168,4870,2288,636,709,61,398,3255
1251,India,22,Chhattisgarh,385,Mahasamund,2021,Total,6005,5710,3131,464,3,1,1,15315,13762,334,491,727,3714,180,8825,2027,1099,1319,401,612,7141
1252,India,22,Chhattisgarh,386,Raigarh,2021,Civil,1493,1648,679,410,29,6,2,4267,3182,164,0,921,1422,493,1467,855,190,149,761,710,2299
1253,India,22,Chhattisgarh,386,Raigarh,2021,Criminal,8669,6854,2475,1189,47,1,0,19235,18424,157,654,0,3703,322,8385,6801,2096,2313,223,590,8204
1254,India,22,Chhattisgarh,386,Raigarh,2021,Total,10162,8502,3154,1599,76,7,2,23502,21606,321,654,921,5125,815,9852,7656,2286,2462,984,1300,10503
1255,India,22,Chhattisgarh,387,Raipur,2021,Civil,3753.782466,3434.961626,1526.73665,1044.980344,164.5021531,29.76705628,2.350030759,9957.080327,6747.721653,365.8214548,0,2842.753875,4987.548614,322.7375576,3363.67736,911.028591,307.8540294,427.7055982,1060.647216,2001.442863,3824.283389
1256,India,22,Chhattisgarh,387,Raipur,2021,Criminal,16392.24789,18437.55799,7154.276974,4356.957027,701.8758534,45.43392801,11.7501538,47100.09982,44386.59764,572.6241616,2140.878022,0,15466.33577,702.659197,16135.31119,13801.73065,4852.030174,6374.066762,760.6266224,2108.760935,17908.01773
1257,India,22,Chhattisgarh,387,Raipur,2021,Total,20146.03035,21872.51962,8681.013624,5401.937372,866.3780065,75.20098429,14.10018455,57057.18014,51134.31929,938.4456165,2140.878022,2842.753875,20453.88438,1025.396755,19498.98855,14712.75924,5159.884204,6801.772361,1821.273838,4110.203798,21732.30112
1258,India,22,Chhattisgarh,388,Rajnandgaon,2021,Civil,1766,1349,473,142,6,0,0,3736,2779,322,0,634,933,358,1380,953,166,255,547,813,1788
1259,India,22,Chhattisgarh,388,Rajnandgaon,2021,Criminal,8059,6337,2370,308,1,0,0,17075,15882,276,916,0,3617,567,7292,5578,1297,1383,208,908,6863
1260,India,22,Chhattisgarh,388,Rajnandgaon,2021,Total,9825,7686,2843,450,7,0,0,20811,18661,598,916,634,4550,925,8672,6531,1463,1638,755,1721,8651
1261,India,22,Chhattisgarh,389,Surguja,2021,Civil,1214,1294,557,187,14,1,2,3269,2330,277,0,662,1421,562,1084,196,148,175,753,786,1596
1262,India,22,Chhattisgarh,389,Surguja,2021,Criminal,3612,3584,1668,445,19,0,0,9328,8674,236,418,0,3062,433,4786,1045,940,1494,136,555,4436
1263,India,22,Chhattisgarh,389,Surguja,2021,Total,4826,4878,2225,632,33,1,2,12597,11004,513,418,662,4483,995,5870,1241,1088,1669,889,1341,6032
1264,India,22,Chhattisgarh,642,Sukma,2021,Civil,157.0084994,96.45740354,21.19287384,7.554196261,0.433610787,0.025506517,0.025506517,282.6975969,213.2439419,9.419654567,0,60.03400036,100.3324809,37.56074871,97.67205332,45.2096621,14.62725128,23.61059718,25.99506416,74.44910587,87.08101216
1265,India,22,Chhattisgarh,642,Sukma,2021,Criminal,760.3776952,311.7360302,46.54870568,6.128529196,0.051013034,0,0,1124.841973,1059.11227,21.13298247,44.596721,0,145.3468721,15.06625782,796.8162543,166.5730023,191.4598071,236.5083365,6.855857275,33.99331893,215.9058418
1266,India,22,Chhattisgarh,642,Sukma,2021,Total,917.3861946,408.1934337,67.74157951,13.68272546,0.48462382,0.025506517,0.025506517,1407.53957,1272.356212,30.55263703,44.596721,60.03400036,245.679353,52.62700654,894.4883076,211.7826644,206.0870584,260.1189337,32.85092143,108.4424248,302.986854
1267,India,22,Chhattisgarh,643,Kondagaon,2021,Civil,221,132,7,1,1,0,0,362,293,14,0,55,144,17,147,42,28,41,46,102,86
1268,India,22,Chhattisgarh,643,Kondagaon,2021,Criminal,1515,496,38,4,1,0,0,2054,1895,10,149,0,367,15,1008,663,300,319,5,116,305
1269,India,22,Chhattisgarh,643,Kondagaon,2021,Total,1736,628,45,5,2,0,0,2416,2188,24,149,55,511,32,1155,705,328,360,51,218,391
1270,India,22,Chhattisgarh,644,Baloda Bazar,2021,Civil,895,954,325,52,9,0,0,2235,1726,203,0,306,800,193,980,262,97,178,460,424,871
1271,India,22,Chhattisgarh,644,Baloda Bazar,2021,Criminal,6672,4666,1341,70,2,0,0,12751,12219,177,333,0,1849,137,6274,4240,1384,1513,98,217,3421
1272,India,22,Chhattisgarh,644,Baloda Bazar,2021,Total,7567,5620,1666,122,11,0,0,14986,13945,380,333,306,2649,330,7254,4502,1481,1691,558,641,4292
1273,India,22,Chhattisgarh,645,Gariyaband,2021,Civil,1038.217534,950.0383737,422.2633501,289.0196558,45.49784686,8.232943717,0.649969241,2753.919673,1866.278347,101.1785452,0,786.246125,1379.451386,89.26244241,930.3226401,251.971409,85.14597055,118.2944018,293.352784,553.5571368,1057.716611
1274,India,22,Chhattisgarh,645,Gariyaband,2021,Criminal,4533.752111,5099.442007,1978.723026,1205.042973,194.1241466,12.56607199,3.249846204,13026.90018,12276.40236,158.3758384,592.1219784,0,4277.66423,194.340803,4462.688808,3817.269352,1341.969826,1762.933238,210.3733776,583.2390655,4952.982272
1312,India,23,Madhya Pradesh,396,Bhopal,2021,Civil,9038,7656,3188,1618,250,18,1,21769,17596,632,0,3541,0,2658,3084,16026,1084,926,2563,5446,7418
1313,India,23,Madhya Pradesh,396,Bhopal,2021,Criminal,33159,35844,19991,9672,739,32,1,99438,90808,1002,7628,0,0,1364,37570,60503,9789,5064,1227,6785,33457
1314,India,23,Madhya Pradesh,396,Bhopal,2021,Total,42197,43500,23179,11290,989,50,2,121207,108404,1634,7628,3541,0,4022,40654,76529,10873,5990,3790,12231,40875
1275,India,22,Chhattisgarh,645,Gariyaband,2021,Total,5571.969645,6049.480381,2400.986376,1494.062628,239.6219935,20.79901571,3.899815445,15780.81986,14142.68071,259.5543835,592.1219784,786.246125,5657.115616,283.6032454,5393.011448,4069.240761,1427.115796,1881.227639,503.7261617,1136.796202,6010.698883
1276,India,22,Chhattisgarh,646,Balod,2021,Civil,632,461,204,30,3,0,0,1330,1038,131,0,161,484,56,495,294,81,95,194,361,530
1277,India,22,Chhattisgarh,646,Balod,2021,Criminal,3437,1452,192,37,3,1,0,5122,4654,78,390,0,709,146,3140,1125,712,958,59,365,892
1278,India,22,Chhattisgarh,646,Balod,2021,Total,4069,1913,396,67,6,1,0,6452,5692,209,390,161,1193,202,3635,1419,793,1053,253,726,1422
1279,India,22,Chhattisgarh,647,Mungeli,2021,Civil,379,422,164,37,4,0,1,1007,794,70,0,143,390,118,330,95,32,54,194,183,475
1280,India,22,Chhattisgarh,647,Mungeli,2021,Criminal,2606,2928,1116,99,1,0,0,6750,6268,67,398,0,2368,377,2657,1284,764,867,44,272,2804
1281,India,22,Chhattisgarh,647,Mungeli,2021,Total,2985,3350,1280,136,5,0,1,7757,7062,137,398,143,2758,495,2987,1379,796,921,238,455,3279
1282,India,22,Chhattisgarh,648,Surajpur,2021,Civil,1083,1054,342,170,12,3,2,2666,2080,165,0,421,913,572,826,281,106,151,624,552,1350
1283,India,22,Chhattisgarh,648,Surajpur,2021,Criminal,3598,3128,1679,588,24,0,0,9017,8244,62,711,0,1780,321,5509,1383,437,769,45,546,4163
1284,India,22,Chhattisgarh,648,Surajpur,2021,Total,4681,4182,2021,758,36,3,2,11683,10324,227,711,421,2693,893,6335,1664,543,920,669,1098,5513
1285,India,22,Chhattisgarh,649,Balrampur,2021,Civil,352,447,177,38,3,4,0,1021,645,121,0,255,648,83,234,55,48,20,207,158,433
1286,India,22,Chhattisgarh,649,Balrampur,2021,Criminal,3138,2324,741,170,4,0,0,6377,5933,94,350,0,1032,109,2244,2988,349,298,28,114,1741
1287,India,22,Chhattisgarh,649,Balrampur,2021,Total,3490,2771,918,208,7,4,0,7398,6578,215,350,255,1680,192,2478,3043,397,318,235,272,2174
1288,India,22,Chhattisgarh,650,Bemetara,2021,Civil,596,403,117,54,12,3,0,1185,780,71,0,334,355,289,354,183,76,114,190,301,401
1289,India,22,Chhattisgarh,650,Bemetara,2021,Criminal,3201,1690,565,58,0,0,0,5514,5101,50,363,0,586,144,4115,594,519,921,42,342,1567
1290,India,22,Chhattisgarh,650,Bemetara,2021,Total,3797,2093,682,112,12,3,0,6699,5881,121,363,334,941,433,4469,777,595,1035,232,643,1968
1291,India,22,Chhattisgarh,734,Gaurella Pendra Marwahi,2021,Civil,816.3910798,696.5302596,273.6736323,68.07545866,8.230785933,2.572120604,0.171474707,1865.644812,1512.57839,96.88320942,0,256.0117375,615.0797738,64.81743923,606.6775132,566.7239065,81.96490992,98.7694312,290.9925777,457.6659928,550.4338093
1292,India,22,Chhattisgarh,734,Gaurella Pendra Marwahi,2021,Criminal,2413.5065,2047.236526,895.9553438,226.8610373,5.830140036,2.22917119,0,5591.618719,5120.749174,76.4777193,394.391826,0,1633.125109,157.9282051,2639.338689,1140.135326,787.4118543,1072.574292,60.01614743,375.0151841,1802.19917
1293,India,22,Chhattisgarh,734,Gaurella Pendra Marwahi,2021,Total,3229.89758,2743.766786,1169.628976,294.9364959,14.06092597,4.801291794,0.171474707,7457.26353,6633.327563,173.3609287,394.391826,256.0117375,2248.204883,222.7456443,3246.016202,1706.859233,869.3767642,1171.343723,351.0087251,832.6811769,2352.632979
1294,India,23,Madhya Pradesh,390,Anuppur,2021,Civil,1329,1154,479,245,17,0,0,3224,2658,237,0,329,50,311,835,2024,159,179,863,903,2016
1295,India,23,Madhya Pradesh,390,Anuppur,2021,Criminal,4282,3564,1925,1070,45,0,0,10886,9058,151,1677,0,111,286,5122,5255,927,880,91,1294,6342
1296,India,23,Madhya Pradesh,390,Anuppur,2021,Total,5611,4718,2404,1315,62,0,0,14110,11716,388,1677,329,161,597,5957,7279,1086,1059,954,2197,8358
1297,India,23,Madhya Pradesh,391,Ashoknagar,2021,Civil,1073,890,351,172,62,4,3,2555,1855,174,0,526,0,323,524,1708,91,162,641,478,1866
1298,India,23,Madhya Pradesh,391,Ashoknagar,2021,Criminal,5423,4892,2365,926,46,2,0,13654,12139,242,1273,0,0,115,7572,5963,879,948,106,664,8811
1299,India,23,Madhya Pradesh,391,Ashoknagar,2021,Total,6496,5782,2716,1098,108,6,3,16209,13994,416,1273,526,0,438,8096,7671,970,1110,747,1142,10677
1300,India,23,Madhya Pradesh,392,Balaghat,2021,Civil,2064,1978,752,298,29,13,2,5136,3857,487,0,792,57,727,1053,3296,175,245,1108,1600,2665
1301,India,23,Madhya Pradesh,392,Balaghat,2021,Criminal,7797,6804,3403,1131,83,15,1,19234,16546,404,2284,0,239,362,8956,9659,1674,1128,160,1771,10081
1302,India,23,Madhya Pradesh,392,Balaghat,2021,Total,9861,8782,4155,1429,112,28,3,24370,20403,891,2284,792,296,1089,10009,12955,1849,1373,1268,3371,12746
1303,India,23,Madhya Pradesh,393,Barwani,2021,Civil,1243,1194,347,200,18,1,0,3003,2105,66,0,832,0,288,860,1854,85,116,439,629,1682
1304,India,23,Madhya Pradesh,393,Barwani,2021,Criminal,6368,3649,1389,541,26,0,0,11973,10730,178,1065,0,0,143,4547,7274,1194,1124,147,686,6132
1305,India,23,Madhya Pradesh,393,Barwani,2021,Total,7611,4843,1736,741,44,1,0,14976,12835,244,1065,832,0,431,5407,9128,1279,1240,586,1315,7814
1306,India,23,Madhya Pradesh,394,Betul,2021,Civil,2675,2268,944,239,13,0,0,6139,4511,562,0,1066,210,858,1188,3879,278,311,1181,1566,2707
1307,India,23,Madhya Pradesh,394,Betul,2021,Criminal,9013,6598,3595,1094,52,0,0,20352,17897,347,2108,0,404,271,9217,10454,1584,1734,214,1517,7785
1308,India,23,Madhya Pradesh,394,Betul,2021,Total,11688,8866,4539,1333,65,0,0,26491,22408,909,2108,1066,614,1129,10405,14333,1862,2045,1395,3083,10492
1309,India,23,Madhya Pradesh,395,Bhind,2021,Civil,3244,2343,1347,703,110,13,4,7764,6430,558,0,776,0,1508,1029,5225,325,391,2108,1602,4074
1310,India,23,Madhya Pradesh,395,Bhind,2021,Criminal,11427,9252,4974,2555,228,5,0,28441,24935,648,2858,0,0,374,13046,14994,1785,1402,266,2095,14644
1311,India,23,Madhya Pradesh,395,Bhind,2021,Total,14671,11595,6321,3258,338,18,4,36205,31365,1206,2858,776,0,1882,14075,20219,2110,1793,2374,3697,18718
1315,India,23,Madhya Pradesh,397,Burhanpur,2021,Civil,882,931,305,77,11,1,0,2207,1439,100,0,668,0,256,467,1484,97,93,544,460,1195
1316,India,23,Madhya Pradesh,397,Burhanpur,2021,Criminal,4803,3634,1074,229,24,0,0,9764,8373,148,1243,0,0,222,3480,6061,997,1023,360,1007,4042
1317,India,23,Madhya Pradesh,397,Burhanpur,2021,Total,5685,4565,1379,306,35,1,0,11971,9812,248,1243,668,0,478,3947,7545,1094,1116,904,1467,5237
1318,India,23,Madhya Pradesh,398,Chhatarpur,2021,Civil,2599,2221,1103,417,28,5,0,6373,4562,784,0,1027,195,690,1314,4170,362,419,1314,1541,3820
1319,India,23,Madhya Pradesh,398,Chhatarpur,2021,Criminal,10437,9464,4686,2254,87,4,0,26932,23626,694,2612,0,192,319,14304,11947,1450,1464,249,1927,13780
1320,India,23,Madhya Pradesh,398,Chhatarpur,2021,Total,13036,11685,5789,2671,115,9,0,33305,28188,1478,2612,1027,387,1009,15618,16117,1812,1883,1563,3468,17600
1321,India,23,Madhya Pradesh,399,Chhindwara,2021,Civil,3699,3482,1467,398,31,0,1,9078,6906,839,0,1333,0,1148,1956,5971,378,506,2038,2644,5389
1322,India,23,Madhya Pradesh,399,Chhindwara,2021,Criminal,10111,10709,5666,1749,31,1,0,28267,24351,577,3339,0,0,399,14867,12990,1936,2308,364,2856,17736
1323,India,23,Madhya Pradesh,399,Chhindwara,2021,Total,13810,14191,7133,2147,62,1,1,37345,31257,1416,3339,1333,0,1547,16823,18961,2314,2814,2402,5500,23125
1324,India,23,Madhya Pradesh,400,Damoh,2021,Civil,1493,1134,467,217,20,0,0,3331,2388,265,0,678,0,383,806,2142,137,350,636,593,1723
1325,India,23,Madhya Pradesh,400,Damoh,2021,Criminal,7306,6333,3680,2099,84,12,0,19514,17960,143,1411,0,0,96,9086,10329,2307,2510,175,984,11190
1326,India,23,Madhya Pradesh,400,Damoh,2021,Total,8799,7467,4147,2316,104,12,0,22845,20348,408,1411,678,0,479,9892,12471,2444,2860,811,1577,12913
1327,India,23,Madhya Pradesh,401,Datia,2021,Civil,1373,1119,386,236,49,1,0,3164,2485,231,0,448,0,329,483,2352,196,211,439,607,1363
1328,India,23,Madhya Pradesh,401,Datia,2021,Criminal,5737,4430,2187,1545,88,0,0,13987,12514,194,1279,0,0,104,7659,6219,1325,1152,113,834,6540
1329,India,23,Madhya Pradesh,401,Datia,2021,Total,7110,5549,2573,1781,137,1,0,17151,14999,425,1279,448,0,433,8142,8571,1521,1363,552,1441,7903
1330,India,23,Madhya Pradesh,402,Dewas,2021,Civil,2224,1907,589,191,6,0,0,4917,3644,440,0,833,0,728,1246,2939,245,310,1006,981,3134
1331,India,23,Madhya Pradesh,402,Dewas,2021,Criminal,12675,11975,6736,1640,47,0,0,33073,30246,427,2400,0,0,357,16034,16648,1934,1881,415,1516,24158
1332,India,23,Madhya Pradesh,402,Dewas,2021,Total,14899,13882,7325,1831,53,0,0,37990,33890,867,2400,833,0,1085,17280,19587,2179,2191,1421,2497,27292
1333,India,23,Madhya Pradesh,403,Dhar,2021,Civil,4435,4270,1087,182,3,0,0,9977,6205,530,0,3242,113,868,2231,6761,693,499,1369,1855,5826
1334,India,23,Madhya Pradesh,403,Dhar,2021,Criminal,13459,12391,6197,949,23,1,0,33020,30208,522,2290,0,274,248,18831,13519,2102,1938,281,1660,20841
1335,India,23,Madhya Pradesh,403,Dhar,2021,Total,17894,16661,7284,1131,26,1,0,42997,36413,1052,2290,3242,387,1116,21062,20280,2795,2437,1650,3515,26667
1336,India,23,Madhya Pradesh,404,Dindori,2021,Civil,719,722,332,88,2,0,0,1863,1358,189,0,316,0,245,309,1309,66,149,417,586,1393
1337,India,23,Madhya Pradesh,404,Dindori,2021,Criminal,3871,2874,2289,1153,2,0,0,10189,9166,29,994,0,0,19,5298,4852,577,650,31,652,8864
1338,India,23,Madhya Pradesh,404,Dindori,2021,Total,4590,3596,2621,1241,4,0,0,12052,10524,218,994,316,0,264,5607,6161,643,799,448,1238,10257
1339,India,23,Madhya Pradesh,405,East Nimar,2021,Civil,1790,1049,308,78,36,0,1,3262,2423,171,0,668,0,442,688,2132,170,138,643,695,1606
1340,India,23,Madhya Pradesh,405,East Nimar,2021,Criminal,7501,5792,2267,396,28,0,0,15984,14117,241,1626,0,0,192,8214,7577,1230,1065,251,1261,7818
1341,India,23,Madhya Pradesh,405,East Nimar,2021,Total,9291,6841,2575,474,64,0,1,19246,16540,412,1626,668,0,634,8902,9709,1400,1203,894,1956,9424
1342,India,23,Madhya Pradesh,406,Guna,2021,Civil,1756,1622,633,221,55,1,1,4289,3259,542,0,488,0,882,1065,2338,192,167,1020,932,2330
1343,India,23,Madhya Pradesh,406,Guna,2021,Criminal,12447,9274,4181,1113,43,1,0,27059,24825,498,1736,0,0,391,11972,14686,1255,1024,288,1341,10611
1344,India,23,Madhya Pradesh,406,Guna,2021,Total,14203,10896,4814,1334,98,2,1,31348,28084,1040,1736,488,0,1273,13037,17024,1447,1191,1308,2273,12941
1345,India,23,Madhya Pradesh,407,Gwalior,2021,Civil,6124,5374,2514,1718,309,27,21,16087,12906,995,0,2186,0,3476,2878,9730,695,857,3101,4470,9549
1346,India,23,Madhya Pradesh,407,Gwalior,2021,Criminal,21995,21959,13651,7446,432,11,1,65495,60011,739,4752,0,0,1056,27349,37004,3326,3049,1042,3075,39898
1347,India,23,Madhya Pradesh,407,Gwalior,2021,Total,28119,27333,16165,9164,741,38,22,81582,72917,1734,4752,2186,0,4532,30227,46734,4021,3906,4143,7545,49447
1348,India,23,Madhya Pradesh,408,Harda,2021,Civil,799,747,339,200,73,4,4,2166,1388,126,0,652,59,286,359,1451,102,94,485,239,1625
1349,India,23,Madhya Pradesh,408,Harda,2021,Criminal,2515,3315,1837,729,15,3,0,8414,7287,120,1007,0,582,98,3432,4250,642,524,89,388,5601
1350,India,23,Madhya Pradesh,408,Harda,2021,Total,3314,4062,2176,929,88,7,4,10580,8675,246,1007,652,641,384,3791,5701,744,618,574,627,7226
1351,India,23,Madhya Pradesh,409,Hoshangabad,2021,Civil,1917,1903,701,340,59,0,0,4920,3740,429,0,751,0,626,1164,3129,244,310,996,1202,2225
1352,India,23,Madhya Pradesh,409,Hoshangabad,2021,Criminal,9303,7990,3514,1634,129,0,0,22570,20002,525,2043,0,0,247,11914,10383,1495,1423,287,1420,10755
1353,India,23,Madhya Pradesh,409,Hoshangabad,2021,Total,11220,9893,4215,1974,188,0,0,27490,23742,954,2043,751,0,873,13078,13512,1739,1733,1283,2622,12980
1354,India,23,Madhya Pradesh,410,Indore,2021,Civil,15135,14003,10608,6968,1122,55,32,47923,30849,1712,0,15367,0,5726,5910,33890,1455,1244,6147,8204,38761
